[
6	 , 58715892, 
6	 , 34474584, 
6	 , 45050604, 
6	 , 50863860, 
6	 , 35962284, 
6	 , 31499772, 
6	 , 26478300, 
6	 , 52794108, 
6	 , 24929556, 
6	 , 86900136, 
6	 , 52385172, 
6	 , 98086320, 
6	 , 41271744, 
6	 , 35448360, 
6	 , 18535212, 
6	 , 28460580, 
6	 , 27714612, 
6	 , 37188972, 
6	 , 51878976, 
6	 , 59863812, 
10	 , 35527920, 
10	 , 58058760, 
10	 , 49119384, 
10	 , 27499152, 
10	 , 44456400, 
10	 , 39659088, 
10	 , 65327496, 
10	 , 111441264, 
10	 , 66149496, 
10	 , 26802312, 
10	 , 32503632, 
10	 , 54495552, 
10	 , 51340320, 
10	 , 22412256, 
10	 , 64381608, 
10	 , 32877384, 
10	 , 56909184, 
10	 , 46879872, 
10	 , 42020424, 
10	 , 46552008, 
20	 , 62112312, 
20	 , 61061472, 
20	 , 66499650, 
20	 , 63434340, 
20	 , 154477962, 
20	 , 74054898, 
20	 , 48252024, 
20	 , 28031292, 
20	 , 49439376, 
20	 , 110970972, 
20	 , 61096518, 
20	 , 30960684, 
20	 , 49448988, 
20	 , 46196406, 
20	 , 60959628, 
20	 , 131934906, 
20	 , 105042528, 
20	 , 105042150, 
20	 , 73680570, 
20	 , 38629008, 
50	 , 97066368, 
50	 , 70176816, 
50	 , 54435456, 
50	 , 52997616, 
50	 , 84047616, 
50	 , 167181408, 
50	 , 70820784, 
50	 , 128525760, 
50	 , 100359936, 
50	 , 58237920, 
50	 , 82902384, 
50	 , 93804048, 
50	 , 123622704, 
50	 , 102806352, 
50	 , 82766160, 
50	 , 97853760, 
50	 , 63549504, 
50	 , 62708112, 
50	 , 68441616, 
50	 , 21260736, 
100	 , 54622848, 
100	 , 107793336, 
100	 , 158527740, 
100	 , 99500772, 
100	 , 70364784, 
100	 , 65178624, 
100	 , 48893964, 
100	 , 138986736, 
100	 , 57939168, 
100	 , 213788862, 
100	 , 60320568, 
100	 , 126361494, 
100	 , 51755760, 
100	 , 68838336, 
100	 , 102570426, 
100	 , 87908352, 
100	 , 104937126, 
100	 , 63284382, 
100	 , 28983402, 
100	 , 35797734, 
150	 , 153811368, 
150	 , 65150340, 
150	 , 41175672, 
150	 , 83045760, 
150	 , 88830636, 
150	 , 51436068, 
150	 , 80823096, 
150	 , 166902708, 
150	 , 112526472, 
150	 , 98126220, 
150	 , 53211624, 
150	 , 177140016, 
150	 , 78610200, 
150	 , 44382240, 
150	 , 20428884, 
150	 , 130085340, 
150	 , 65976180, 
150	 , 46169340, 
150	 , 52820016, 
150	 , 76254336, 
200	 , 138387150, 
200	 , 23063832, 
200	 , 55227150, 
200	 , 77344740, 
200	 , 85525902, 
200	 , 66566610, 
200	 , 22034430, 
200	 , 70833906, 
200	 , 60031422, 
200	 , 39707118, 
200	 , 22255398, 
200	 , 54236358, 
200	 , 53752248, 
200	 , 40947984, 
200	 , 22117590, 
200	 , 41797404, 
200	 , 67304358, 
200	 , 112862970, 
200	 , 55670274, 
200	 , 54355158, 
250	 , 107766912, 
250	 , 63469152, 
250	 , 63484032, 
250	 , 39874680, 
250	 , 10409304, 
250	 , 98868672, 
250	 , 83959656, 
250	 , 16259376, 
250	 , 40455000, 
250	 , 13692576, 
250	 , 43059000, 
250	 , 44077536, 
250	 , 56713632, 
250	 , 43605096, 
250	 , 98243712, 
250	 , 62865768, 
250	 , 52900632, 
250	 , 1847352, 
250	 , 37676160, 
250	 , 35179296, 
300	 , 30845682, 
300	 , 5172684, 
300	 , 62102604, 
300	 , 31791534, 
300	 , 34559358, 
300	 , 51736674, 
300	 , 116069808, 
300	 , 23126886, 
300	 , 37559622, 
300	 , 7967328, 
300	 , 32481702, 
300	 , 56570532, 
300	 , 20972346, 
300	 , 55550478, 
300	 , 34783752, 
300	 , 31512606, 
300	 , 44485440, 
300	 , 24273888, 
300	 , 66239142, 
300	 , 87997314, 
350	 , 416556, 
350	 , 12844332, 
350	 , 33777576, 
350	 , 26492544, 
350	 , 39771180, 
350	 , 56376, 
350	 , 44212356, 
350	 , 94796244, 
350	 , 38891088, 
350	 , 50430420, 
350	 , 49932432, 
350	 , 37005624, 
350	 , 69160824, 
350	 , 100211472, 
350	 , 48366432, 
350	 , 22400064, 
350	 , 34497936, 
350	 , 55332, 
350	 , 26845416, 
350	 , 50387616, 
400	 , 100476294, 
400	 , 30187902, 
400	 , 28321680, 
400	 , 54924, 
400	 , 53730, 
400	 , 11218824, 
400	 , 60342372, 
400	 , 21883632, 
400	 , 77846412, 
400	 , 20063976, 
400	 , 10343622, 
400	 , 31073850, 
400	 , 12964452, 
400	 , 57224838, 
400	 , 4904952, 
400	 , 69237672, 
400	 , 9594984, 
400	 , 9882738, 
400	 , 41606124, 
400	 , 123863172, 
4	 , 23041098, 
4	 , 79065912, 
4	 , 18188394, 
4	 , 25059036, 
4	 , 36336726, 
4	 , 61164432, 
4	 , 34645410, 
4	 , 81727206, 
4	 , 43604586, 
4	 , 48892068, 
4	 , 34838856, 
4	 , 61708380, 
4	 , 40623702, 
4	 , 40575102, 
4	 , 65907186, 
4	 , 48324534, 
4	 , 17564310, 
4	 , 26534406, 
4	 , 36446652, 
4	 , 35316066]
